議案屆次別,大會類別,類別,選區,議員,質詢內容,相關局處,質詢日期,議事錄頁碼開頭,發言開頭2句話,關鍵字（法案名字、簡稱、地名）
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,特色公園應納入在地親子團體意見，用參與式設計讓他們加入討論。,工務局,2019/4/19,p.131,這個我剛會覺得可能是都發局，是因為也是和創意設計園區有關,特色公園、親子團體、參與式設計
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,關心未立案安親班出現狼師、不適任人員狀況。,教育局,2019/4/19,p.132,接下來請教教育局鄭局長，我們在兒少法的修法是防不適任,未立案、安親班、體罰、不適任
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,要求落實性平教育。,教育局,2019/4/19,p.135,接下來也是教育局的問題，要和局長討論性平教育落實的狀況,性別平等、性平教育 
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,違反勞基法公司名單的網站應建置完善，並公告裁罰基準。,勞工局,2019/4/19,p.139,接下來請教勞工局，臺南的勞檢能不能有更好的表現或是整理一些狀況,勞檢、網站設計
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,提高勞檢員待遇，落實勞檢。,勞工局,2019/4/19,p.139,另外再提到勞檢員勞動條件不佳,勞檢員、勞動條件、約聘僱
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,包租代管物件數量少，市府須檢討。,都發局,2019/4/19,p.139,包租代管的問題，請教相關的局處首長，都發局長，在此和大家討論一下包租代管的問題,包租代管、物件
第3屆第1次,定期會,市政總質詢,第七選區,林易瑩,社會住宅進度落後，戶數減少。,都發局,2019/4/19,p.141,我們不能什麼事情都用撒錢解決，我另外有整理出要問公辦社會住宅的問題。,社會住宅
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,詢問台南新市政中心規劃進度。,市長,2019/4/22,p.143,臺南市政府實施雙行政中心已經八年時間，永華、民治行政中心兩地相隔了50 分鐘車程,新市政中心、善化、新市、 安定
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,新市區幼兒園建築安全問題，建議新蓋一座幼兒園。,教育局,2019/4/22,p.144,繼續請問教育局鄭局長，教育除了創新之外，是否還要兼具公平與品質？,公幼、危樓
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,幼兒園錄影帶應有保存期限SOP，以利幼童發生事情時可以調閱處理。,教育局,2019/4/22,p.146,本席接獲家長反應，她去學校調錄影帶，遭到學校的刁難,幼兒園、錄影帶
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,跨新化、新市之永新路重新鋪設，但新市區卻未施工，民眾觀感不佳。,工務局,2019/4/22,p.147,在永新國宅社區有一條路叫永新路，永新路是橫跨新化與新市兩個行政區域,永新路、道路施工
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,134縣I區旁土地徵收面積計算問題。,地政局,2019/4/22,p.148,樹谷園區有一條30 米道路要興建，是不是連接北外環道路？有連接嗎？,134線I區、區段徵收
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,非洲豬瘟問題，稽查人員直接進入養豬場恐導致病毒傳播，請環保局加強人員教育訓練。,環保局,2019/4/22,p.150,現在非洲豬瘟非常的嚴重，臺灣很注重這個問題,非洲豬瘟、稽查人員
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,善化監測站空品差，應提出相關因應措施。,環保局,2019/4/22,p.151,臺南市空氣品質非常差，被WHO 列為一級致癌物的PM10 跟PM2.5 平均都超標,善化、PM2.5、
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,洗街車在民眾上下班時間灑水，造成用路人不便，應檢討灑水時間。,環保局,2019/4/22,p.151,本席再請問局長，環保局在空污嚴重的時候是不是會出動灑水車來降低空污的影響？,洗街車、灑水
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,缺少安定到奇美醫院的公車路線，希望市府能增設。,交通局,2019/4/22,p.152,對於本席第1 次臨時會提的關於是否能夠由安定國小那邊有直達車到奇美醫院的議案書面答覆,公車路線、安定、奇美醫院
第3屆第1次,定期會,市政總質詢,第五選區,陳碧玉,有單親家庭個案無法獲得經費補助，希望社會局能介入關心。,社會局,2019/4/22,p.154,現在我手上有一個不符合寄養家庭情形的個案,單親家庭
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,公幼需求嚴重不足，要求市府增設公幼。,教育局,2019/4/22,p.155,針對現在少子化是國安危機，各地方政府都想要鼓勵年輕人生育,公幼、公托
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,在人口稠密區公幼老師要多開缺，增加正式老師比例，減少流動率。,教育局,2019/4/22,p.157,教師控管比在人口稠密區太高，目前就我瞭解還有20%,公幼、正式老師、流動率
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,希望能打造民間規格、公家收費的親子悠遊館旗艦店。,社會局,2019/4/22,p.158,再來要請問市長，臺南有沒有公營的遊戲親子空間？,親子悠遊館
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,廢除行政教師免超額政策，尊重學校的人事決定權，並推動行政減量。,教育局,2019/4/22,p.159,另外想跟大家提的是校園行政體系，我覺得這件事情很重要,行政教師超額、人事決定權
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,市府應盡速簽訂與教師工會的團體協約，賦予教師工會權利，並促進雙方合作。,教育局,2019/4/22,p.160,另外，我再提一個比較嚴肅的問題，就是團體協約,教師工會、團體協約、
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,推動三級棒球發展，建議成立大灣高中棒球隊。,市長,2019/4/22,p.161,好，謝謝市長、局長。接下來講到我最愛的棒球,棒球、大灣高中、棒球隊
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,台江文化中心停車位不足，造成周遭交通混亂。,市長,2019/4/22,p.162,但是完成後開始運作時發現一個很大的問題，就是周邊停車,台江文化中心、停車位
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,台江文化中心編制人員不足，工作量大，需調派人員支援。,文化局,2019/4/22,p.162,再請教局長，台江文化中心目前的編制有多少人？,台江文化中心、人員編制
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,詢問亞太棒球村第一期建設進度。,工務局,2019/4/22,p.163,亞太棒球村是市府在前市長任內共同的建設,亞太棒球村
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,應找出安南區特色公園的特點，建議可以做棒球特色公園。,工務局,2019/4/22,p.163,我們以前推「一區一特色公園」，每一區要依自己區的特色來蓋一個有代表性的公園,
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,詢問和順轉運站進度。,交通局,2019/4/22,p.163,接下來，亞太棒球村旁邊有個和順轉運站，請交通局報告一下和順轉運站的進度。,和順轉運站
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,希望能在合法範圍內想出一套照顧鄰長的方式。,市長,2019/4/22,p.164,先請教民政局局長，聽說最近檢調有在關心鄰長津貼的事情,鄰長
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,要再更支持台南在地職棒隊伍統一獅。,市長,2019/4/22,p.165,繼續請教市長，剛剛延續到棒球議題，上個月我有陪賴清德前院長進球場看統一獅的球賽,棒球、統一獅
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,詳盡規劃新化及周遭地區的觀光發展方案。,秘書長,2019/4/22,p.166,另外我想要和市府團隊討論一下新化老街整個文化觀光產業推廣的問題。,新化、觀光、交通
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,希望跨局處能解決非洲豬瘟造成校園廚餘處理問題。,環保局,2019/4/22,p.167,因為非洲豬瘟的關係，廚餘變成有點棘手的問題,非洲豬瘟、廚餘
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,建議把城市音樂廳放在總圖基地附近，打造文化綠廊。,市長,2019/4/22,p.168,另外我想要和大家探討一下永康新都心的問題，永康新都心在砲校的基地,永康新都心、砲校基地、新總圖、城市音樂廳
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,二王公墓市地重劃後建議規劃體育用地及青年住宅。,市長,2019/4/22,p.168,我們再提到二王公墓的市地重劃案，砲校基地對面就是二王公墓,二王公墓、市地重劃、體育用地、青年住宅
第3屆第1次,定期會,市政總質詢,第七選區,林宜瑾,建議康橋大道南方忠孝路拉直及拓寬。,工務局,2019/4/22,p.169,最後要跟大家提到所謂的康橋大道，我們整個砲校基地的第一期已經有開闢一條15 米的康橋大道,砲校基地、康橋大道、忠孝路、拉直、拓寬
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,加速長溪路排水工程計畫招標進度。,水利局,2019/4/22,p.170,水利局在前瞻計畫有爭取涵箱在長溪路一段，已經講很久了，聽說設計好了但是發包流標,長溪路、排水、淹水
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,警察局第三分局設計不敷現代使用，建議遷移。,警察局,2019/4/22,p.171,接下來，本席想要建議市長，我常常去第三分局,警察局、第三分局、遷移
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,詢問商60土地相關規劃,都發局,2019/4/22,p.172,請問商60的抵費地面積大概多少？,商60、抵費地
第3屆第1次,定期會,市政總質詢,第六選區,王錦德,文小74有一塊學校用地，少子化情況下建議可以解編作其他用途。,都發局,2019/4/22,p.172,文小74這塊學校用地的編列你會覺得怪怪的嗎？,文小74、學校用地、解編
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,提高中低收入戶老人重症住院看護補助費用。,市長,2019/4/23,p.174,首先第一個議題要談的是「醫」的部分(提高中低收入戶老人重症住院看護補助費用),重症、65歲以上、中低收入戶、
第3屆第1次,定期會,市政總質詢,第一選區,李宗翰,提高中低收入戶老人重症住院看護補助費用。,市長,2019/4/23,p.174,首先第一個議題要談的是「醫」的部分(提高中低收入戶老人重症住院看護補助費用),重症、65歲以上、中低收入戶、
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,調降單一住宅自用住宅稅稅率，維持其他房屋稅，使租稅公平化。,市長,2019/4/23,p.175,在房屋稅方面全面調降，照顧市民說到做到，非常感謝市長的努力,房屋稅、自用住宅、稅率、調降、單一住宅
第3屆第1次,定期會,市政總質詢,第一選區,李宗翰,提高擁有多戶房子者稅率，打擊囤房問題。,市長,2019/4/23,p.177,謝謝沈家鳳議員的陳述，在這裡也非常認同，我想強調一點,房屋稅、囤房
第3屆第1次,定期會,市政總質詢,第一選區,李宗翰,建議新營鐵路高架化，減少交通成本，跨大溪北地區版圖。,市長,2019/4/23,p.178,接下來由我繼續談新營鐵路高架化的部分，黃偉哲市長說要照顧溪北,新營、鐵路高架化、溪北
第3屆第1次,定期會,市政總質詢,第一選區,沈家鳳,期望新營鐵路高架化地方配合款比例減少，降低市府負擔。,市長,2019/4/23,p.180,市長，非常感謝你對新營鐵路高架化的支持,新營、鐵路高架化、配合款
第3屆第1次,定期會,市政總質詢,第一選區,劉米山,希望市長重視溪北發展問題。,市長,2019/4/23,p.181,我們三人聯手是為了大溪北地區的未來能更好,溪北
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,詢問後港小排與後港中排抽水機、排水設施施工進度。,水利局,2019/4/23,p.183,"首先感謝市長及市府團隊，之前市長還是立委時替我們向中央爭取7,900 萬來做後港中排3 及3-1 的排水改善工程",淹水、排水、後港
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,要求解決北門區玉港里及學甲工業區淹水問題。,水利局,2019/4/23,p.183,大家都知道淹水問題不只七股區，是整個大北門區的問題,淹水、排水、玉港里、學甲工業區
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,要求解決將軍青山漁港碼頭掏空問題。,水利局,2019/4/23,p.184,這是將軍的青山漁港，其基地掏空造成潰堤,將軍、青山漁港
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,希望南佳里能興建佳里第二個活動中心。,民政局,2019/4/23,p.185,所以本席要針對佳里區建議幾個指標性的建設，要與市府一起打拚,佳里、活動中心、南佳里
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,希望大北門區要有藝文活動中心,市長,2019/4/23,p.186,大家都知道大北門區沒有藝文中心也沒有國民旅遊或運動中心，大家都期待一個藝文中心,大北門區、藝文活動中心、台糖
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,蕭壠文化園區相關活動人數少，期望能把門口的牆拆除、改善交通動線、開放夜間使用,文化局,2019/4/23,p.188,局長，本席很久前就告訴你了，我們每次在蕭壠文化園區辦活動,蕭壠文化園區、佳里
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,詢問北頭洋飛番文化園區後續建設預算編列情形。,原委會,2019/4/23,p.190,所以未來整體完成後飛番文化園區可以成為北頭洋最大的觀光資源,北頭洋、飛番文化園區
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,蕭壠與北頭洋文化園區之間1.5km鐵路，希望能改為自行車道，並增設T-bike。,都發局,2019/4/23,p.190,剛才有看到，佳里的東邊有蕭壠文化園區、西邊有北頭洋文化園區,蕭壟文化園區、北頭洋、自行車道、T-bike
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,整修佳里民生街口三棟日式建築，打造成日式的花園廣場。,市長,2019/4/23,p.191,所以一個地方若有去整修處理就能變成觀光休閒景點，也可以帶動地方經濟,佳里、民生街口、日式建築、花園廣場
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,爭取整修西港壘球場預算。,市長,2019/4/23,p.192,照片中是西港壘球場，這個壘球場很久前本席就一直在質詢,西港、壘球場
第3屆第1次,定期會,市政總質詢,第二選區,蔡蘇秋金,要求加快大寮公墓遷葬進度。,民政局,2019/4/23,p.193,大寮公墓問題，在本席任內一直拜託賴市長起掘,大寮公墓、遷葬
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,要求美術館完善相關規章。,美術館,2019/4/23,p.194,我們看到美術館終於順利開館，當然也非常感謝所有的藝文人士及行政團隊的努力,美術館、美術館自治條例
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,美術館人員編制招聘問題。,美術館,2019/4/23,p.198,好，謝謝市長。在美術館開館後提升我們藝術量能，更重要的是它提供很多的工作機會,美術館、人員編制、招聘
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,提升美術館民眾參與程度。,美術館,2019/4/23,p.201,是，剛才館長講了很多如爭取國內外的大展來到臺南，吸引大家來看,美術館、門票
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,完善生產前相關協助措施，提高生育率。,市長,2019/4/23,p.202,接下來我們要討論生育率的問題，尤其最重要的是市長說的話,生育率、補助
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,針對公幼需求量較高區域，優先增加公幼班級數。,教育局,2019/4/23,p.204,另外市長一直在說需要友善的育兒環境讓父母可以好好養育小孩，市長知道臺南市有幾個公共托育家園？,公托、公幼、托育家園
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,要求增加特色公園數量，設計納入公民參與，並且每個公園需有不同特色。,市長,2019/4/23,p.206,其實我們要帶孩子除了上學外，帶孩子去哪裡玩也非常重要,特色公園、公民參與
第3屆第1次,定期會,市政總質詢,第八選區,陳怡珍,要求解決光武里親子天空沙坑遮陽問題。,市長,2019/4/23,p.208,最近我們在臺南Today 網站上分享了一個親子天空沙坑，市長的臉書上也有分享，市長知道這個地方在哪裡嗎？,光武里、沙坑
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,要求市府發放鄰長補助費。,市長,2019/4/24,p.210,我們無黨聯盟召開了兩次臨時會，就是要凍漲房屋稅，結果也是沒有效,鄰長、交通補助費
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,建議增設大北門區直達高鐵及台南市區的公車路線。,交通局,2019/4/24,p.212,因為在大北門區無論是要往臺南或是高鐵，要搭車都非常的不方便,大北門區、公車、高鐵、直達、台南市區
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,詢問西港外環道開發進度。,工務局,2019/4/24,p.212,下一張，黃市長，這一件事我也要感謝你，這一條路在哪裡你知道嗎？,西港、外環道
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,公共設施保留地多，但缺少經費來妥善運用。,市長,2019/4/24,p.213,市長，你知道圖中這個地方在哪邊嗎？在本席服務處旁邊。,公設保留地、徵收、解編
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,要求開發大北門區三漁港觀光產業。,市長,2019/4/24,p.214,"在大北門區可以說都沒什麼發展，將軍漁港是因為農業局有去申請前瞻計畫1,200 萬元",北門區、漁港
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,關心太陽能板興建規劃與後續處置問題。,經發局,2019/4/24,p.215,下一張，這是農業局還經發局？你有沒有去參加？,太陽能板、台電、光電板、汙染
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,南大七股校區閒置，詢問後續土地利用規劃。,市長,2019/4/24,p.217,下一張，市長還記得圖中這個地方嗎？,南大、七股校區
第3屆第1次,定期會,市政總質詢,第二選區,蔡秋蘭,要求區長中立，並與里長做好溝通。,市長,2019/4/24,p.218,市長，我這邊還有一件事情要和你探討，我們各區的區長雖然是派任的,區長、中立、里長
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,支持房屋稅調降。,市長,2019/4/24,p.220,我們的房屋稅其實有很大的空間，因為這是地方稅,房屋稅、調降
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,要求解決北門區玉港里淹水問題。,水利局,2019/4/24,p.220,水利局長，玉港里的工程我一再提，希望你加入討論,北門區、玉港里、淹水
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,區公所農建課掌管範圍大，建議在農業為主的區，將農業課分立。,市長,2019/4/24,p.220,市長，當然我要向你說明一下，我們七股大不大,區公所、農建課
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,里鄰合併後，會減少到社區發展協會的服務效能，造成民眾困擾。,市長,2019/4/24,p.220,區尚未合併，里鄰合併之後大的里併小的里,里鄰合併、社區發展協會、服務效能
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,真理大學北門社大招標案違法問題。,市長,2019/4/24,p.220,教育局長，市長和我當選時，我去找你聊天沒有超過1 個半小時但抱怨了將近1 個小時,真理大學、北門社大
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,曾文水庫使七股地區流失大量泥沙。,市長,2019/4/24,p.221,市長，你有沒有想過要拆掉曾文水庫？是否說夢話嚇死人？,曾文水庫、七股
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,盡快規劃北外環道路，架構曾文溪與台南市區交通網。,市長,2019/4/24,p.224,所以我們要建構完整的臺南市，要怎麼在曾文溪中間規劃，大家都想儘快規劃南科的道路,北外環、曾文溪
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,建議拆除國姓橋頭三座高壓電塔，有礙觀瞻。,經發局,2019/4/24,p.224,市長，七股工業園區就是不讓台電再隨便做變電所的情況下,
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,太陽能不是進步的發電方式，會影響到七股海產的競爭力。,市長,2019/4/24,p.225,我順便講太陽能，市長，太陽能發電不是進步的發電,太陽能
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,爭取佳里區公設用地建設，不要讓溪北邊緣化。,市長,2019/4/24,p.225,除了北門區不要邊緣化，也要好好建設佳里區，佳里還有好多地方要建設,公設用地、溪北
第3屆第1次,定期會,市政總質詢,第二選區,陳昆和,三合一殯葬所選址應合理，不要設在台南市正中間。,市長,2019/4/24,p.225,原來市政府要在我畫紅色區域的那個地方，做三合一的殯葬所,殯葬所
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,建議市長增加預算，早日完成九份子國中小校舍興建，以符合學區內孩童就學之需求。（書面質詢）,市長,2019/4/24,p.227,建議市長採取「增加預算」的方案，儘速與教育局討論,九份子、重劃區、海佃
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,要求解決安中路淹水問題。（書面質詢）,市長,2019/4/24,p.227,安南區主要淹水區域，以安中路的水患影響最為深遠,安南區、同安路、安中路、海佃路
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,加速將軍水產加工及冷鏈物流中心建設速度。（書面質詢）,市長,2019/4/24,p.228,臺南市農漁產冷鏈雙核心-將軍水產加工以及冷鏈物流中心,將軍漁港、物流中心、冷鏈、水產加工
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,老農、老漁津貼會因戶口變動而喪失資格，希望民政局提醒辦理戶口變動民眾相關事宜。（書面質詢）,民政局,2019/4/24,p.228,農保、漁保戶口一經變動，老農老漁津貼資格喪失,老農、老漁、戶口變動
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,加強重點淹水區域排水系統，減少淹水災情。（書面質詢）,水利局,2019/4/24,p.229,因應豪大雨頻繁發生，請水利局加強重點排水線、農路排水系統,淹水、排水
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,偏鄉公幼應保障在地兒童優先入學權益。（書面質詢）,教育局,2019/4/24,p.229,偏鄉公幼應保障在地幼兒優先入學之權益,公幼、私幼
第3屆第1次,定期會,市政總質詢,第六選區,郭清華,建議市府拓寬安南區青砂街二段455巷道路，以因應曾文溪橋完成後所帶來之大量車潮。（書面質詢）,市長,2019/4/24,p.229,建議市府拓寬安南區青砂街二段455 巷道路,安南區、青砂街
第3屆第1次,定期會,市政總質詢,第一選區,李宗翰,稻熱病嚴重，為避免青割導致品質差、價格低，市府應制定因應策略。,市長,2019/4/25,p.230,首先我們要先確保稻米的收購，黃偉哲市長是否知道今年稻米發生什麼事情？,稻米、稻熱病、青割
第3屆第1次,定期會,市政總質詢,第一選區,李宗翰,詢問新營贏地創新育成基地營運發展未來前景。,市長,2019/4/25,p.234,接下來我要談的是青年創業育成中心，請問市長對新營這塊贏地的認識如何？,新營、贏地、民治議事廳
